iso2_str
"AR"
"MM"
"ER"
"MK"
"GL"
"IL"
"MZ"
"NC"
"ZM"
"MU"
"SO"
"MT"
"GQ"
"IT"
"RW"
"MA"
"TC"
"GD"
"UZ"
"KN"
"MO"
"BB"
"CI"
"BH"
"TT"
"ES"
"YE"
"KZ"
"HU"
"ID"
"MW"
"FM"
"KW"
"PT"
"GN"
"LK"
"KI"
"UA"
"BR"
"DM"
"SV"
"WS"
"LV"
"FI"
"SI"
"CY"
"GR"
"TD"
"MD"
"IS"
"CO"
"AM"
"JO"
"AW"
"CH"
"BN"
"AO"
"LA"
"BF"
"PF"
"DZ"
"AF"
"FO"
"AE"
"KG"
"AZ"
"BA"
"BO"
"BS"
"AT"
"CF"
"BZ"
"CG"
"CV"
"NL"
"AD"
"SB"
"TN"
"IR"
"CM"
"JP"
"GA"
"DE"
"BW"
"ZW"
"TH"
"ET"
"JM"
"NP"
"TJ"
"MR"
"MH"
"ST"
"SC"
"TG"
"NZ"
"TZ"
"TL"
"GT"
"GB"
"NE"
"EG"
"NG"
"RU"
"PL"
"VN"
"HT"
"CL"
"VE"
"LB"
"IQ"
"VC"
"LR"
"KP"
"KR"
"GM"
"ZA"
"SL"
"BJ"
"DJ"
"SR"
"UY"
"GH"
"KY"
"SY"
"VU"
"KE"
"NI"
"EC"
"TR"
"PY"
"CD"
"GY"
"PG"
"SK"
"BD"
"FJ"
"GW"
"KH"
"LT"
"MG"
"SA"
"MV"
"BT"
"LU"
"EE"
"HN"
"PW"
"BI"
"GE"
"PK"
"BE"
"AU"
"SN"
"SZ"
"PE"
"TM"
