?iso2_str	?age	?val_str	?pop	?den
"GH"	1991	"5271.4"	24233431	102
"GR"	1991	"6594.0"	11305118	85
"GT"	1991	"14385.7"	13824463	129
"HN"	1991	"3142.2"	8249574	64
"HT"	1991	"1402.1999999999998"	9719932	350
"HU"	1991	"6855.8"	10014324	107
"ID"	1991	"90676.59999999999"	237424363	124
"IL"	1991	"1913.7"	7869900	371
"IQ"	1991	"4462.3"	30399572	74
"IR"	1991	"24127.7"	78868711	48
"IS"	1991	"395.0"	320060	3
"IT"	1991	"30583.600000000002"	60681514	201
"JM"	1991	"626.1999999999999"	2847232	252
"JO"	1991	"606.8"	6508271	68
"JP"	1991	"31995.7"	127799000	337
"KE"	1991	"9247.6"	43013341	67
"KG"	1991	"1559.1"	5550239	27
"KH"	1991	"3294.7999999999997"	14805358	82
"KP"	1991	"3310.1"	24051218	198
"KR"	1991	"17958.100000000002"	48875000	491
"KW"	1991	"507.6"	3566437	200
"KZ"	1991	"15964.5"	16600000	6
"LB"	1991	"597.8"	4224000	404
"LK"	1991	"2044.5000000000002"	20860000	309
"LT"	1991	"3657.0"	3187176	50
"LU"	1991	"425.59999999999997"	509074	194
"LV"	1991	"1159.4"	2217053	34
"MA"	1991	"5602.0"	32545170	72
"MD"	1991	"785.0"	3559500	122
"MK"	1991	"652.8000000000001"	2055004	82
"MM"	1991	"31193.8"	60280000	74
"MT"	1991	"67.7"	452515	1307
"MZ"	1991	"9610.2"	22894000	29
"NG"	1991	"20972.100000000002"	170123740	184
"NI"	1991	"3295.1000000000004"	5891199	42
"NP"	1991	"4231.7"	29331000	199
"NZ"	1991	"11498.6"	4422700	17
"PE"	1991	"7673.9"	29496000	23
"PK"	1991	"24759.699999999997"	177100000	214
"PL"	1991	"27374.9"	38186860	120
"PT"	1991	"5812.599999999999"	10578776	115
"PY"	1991	"7826.3"	6454548	14
"RU"	1991	"93229.9"	143030106	8
"SA"	1991	"5988.8"	27136977	12
"SI"	1991	"1154.3000000000002"	2050189	101
"SK"	1991	"3112.2999999999997"	5445324	111
"SN"	1991	"3794.9"	12855153	65
"SV"	1991	"1359.1"	6134000	342
"SY"	1991	"4677.3"	22530746	118
"TG"	1991	"1807.0"	6619000	117
"TH"	1991	"20065.3"	667201532	132
"TJ"	1991	"1092.8"	7616000	49
"TM"	1991	"2907.9"	5110000	11
"TN"	1991	"2436.9"	10732900	63
"TR"	1991	"33041.5"	74724269	97
"TT"	1991	"241.5"	1227505	254
"TZ"	1991	"18580.2"	43188000	46
"UA"	1991	"24606.100000000002"	45888000	77
"UY"	1991	"6333.8"	3318535	19
"UZ"	1991	"9249.1"	29559100	61
"VE"	1991	"13223.800000000001"	27150	30
"VN"	1991	"19627.300000000003"	91519289	259
"YE"	1991	"2723.5"	25130000	45
"ZA"	1991	"23217.4"	48810427	41
"ZM"	1991	"21689.5"	12935000	17
"ZW"	1991	"5595.9000000000015"	12521000	26
"AE"	1992	"1398.8"	8264070	99
"AM"	1992	"583.5"	3262200	108
"AO"	1992	"3056.7000000000003"	18498000	15
"AR"	1992	"49956.6"	41281631	15
"AT"	1992	"4224.700000000001"	8414638	1003
"AU"	1992	"63037.700000000004"	22875104	3
"AZ"	1992	"2599.6"	9165000	106
"BA"	1992	"1032.3"	3839737	75
"BD"	1992	"21486.7"	148000000	964
"BD"	1992	"21486.7"	158570535	964
"BE"	1992	"8808.6"	11007020	355
"BH"	1992	"112.9"	1234571	1627
"BJ"	1992	"2920.4"	9598787	78
"BN"	1992	"653.6999999999999"	408786	67
"BO"	1992	"15279.5"	10907778	9
"BR"	1992	"238197.7"	192376496	22
"BW"	1992	"3096.5"	2029307	3
"CD"	1992	"54701.5"	71712867	29
"CG"	1992	"3603.5"	3686000	11
"CH"	1992	"2463.6"	7952600	188
"CI"	1992	"7477.7"	20617068	64
"CL"	1992	"8607.6"	17248450	23
"CM"	1992	"9027.2"	19100000	40
"CO"	1992	"21316.5"	46366364	41
"CY"	1992	"287.8"	1099341	117
"CY"	1992	"287.8"	838897	117
"DE"	1992	"51513.5"	81799600	229
"DZ"	1992	"4917.0"	37100000	15
"EC"	1992	"4558.5"	15007343	54
"EE"	1992	"951.7"	1340194	29
"EG"	1992	"21993.0"	90000000	2755
"EG"	1992	"21993.0"	90000000	7136
"EG"	1992	"21993.0"	90000000	76
"ER"	1992	"1191.7"	5824000	43
"ES"	1992	"26263.0"	46030109	93
"ET"	1992	"30267.2"	82101998	74
"FI"	1992	"7068.0"	5404956	16
"GA"	1992	"477.1"	1475000	6
"GB"	1992	"30199.100000000002"	62262000	256
"GE"	1992	"2021.9999999999998"	4469200	68
"GH"	1992	"4812.0"	24233431	102
"GR"	1992	"6025.0"	11305118	85
"GT"	1992	"5413.1"	13824463	129
"HN"	1992	"3064.9"	8249574	64
"HT"	1992	"1455.6"	9719932	350
"HU"	1992	"6974.599999999999"	10014324	107
