?iso2_str	?age	?val_str	?pop	?den
"TR"	1980	"75763.887"	74724269	97
"TT"	1980	"16937.873"	1227505	254
"TZ"	1980	"1884.838"	43188000	46
"UA"	1980	"641680.9959999999"	45888000	77
"UY"	1980	"5837.864"	3318535	19
"UZ"	1980	"114014.364"	29559100	61
"VC"	1980	"36.67"	120000	307
"VE"	1980	"90802.254"	27150	30
"VN"	1980	"16820.529"	91519289	259
"VU"	1980	"62.339"	224564	20
"WS"	1980	"99.009"	179000	63
"YE"	1980	"3318.6349999999998"	25130000	45
"ZA"	1980	"228454.09999999998"	48810427	41
"ZM"	1980	"3531.321"	12935000	17
"ZW"	1980	"9636.876"	12521000	26
"AD"	1981	"425.37199999999996"	84082	180
"AE"	1981	"36857.017"	8264070	99
"AF"	1981	"1983.847"	29835392	44
"AM"	1981	"2896.93"	3262200	108
"AO"	1981	"5280.48"	18498000	15
"AR"	1981	"102041.609"	41281631	15
"AT"	1981	"56130.769"	8414638	1003
"AU"	1981	"230360.94"	22875104	3
"AW"	1981	"447.37399999999997"	101484	567
"AZ"	1981	"49365.153999999995"	9165000	106
"BA"	1981	"3270.964"	3839737	75
"BB"	1981	"685.7289999999999"	284589	660
"BD"	1981	"7931.721"	148000000	964
"BD"	1981	"7931.721"	158570535	964
"BE"	1981	"124014.27299999999"	11007020	355
"BF"	1981	"557.384"	15730977	57
"BH"	1981	"8525.775"	1234571	1627
"BI"	1981	"157.68099999999998"	10216190	367
"BJ"	1981	"429.039"	9598787	78
"BN"	1981	"1470.4669999999999"	408786	67
"BO"	1981	"4792.768999999999"	10907778	9
"BR"	1981	"171806.28399999999"	192376496	22
"BS"	1981	"2801.5879999999997"	353658	23
"BT"	1981	"25.668999999999997"	708427	18
"BW"	1981	"1008.425"	2029307	3
"BZ"	1981	"183.35"	333200	15
"CD"	1981	"3777.0099999999998"	71712867	29
"CF"	1981	"135.679"	4422000	7
"CG"	1981	"473.04299999999995"	3686000	11
"CH"	1981	"38859.199"	7952600	188
"CI"	1981	"4466.406"	20617068	64
"CL"	1981	"24554.232"	17248450	23
"CM"	1981	"5342.8189999999995"	19100000	40
"CO"	1981	"44458.708"	46366364	41
"CV"	1981	"33.003"	567000	126
"CY"	1981	"3047.277"	1099341	117
"CY"	1981	"3047.277"	838897	117
"DE"	1981	"893141.8539999999"	81799600	229
"DJ"	1981	"300.69399999999996"	906000	37
"DM"	1981	"36.67"	72660	105
"DZ"	1981	"46438.888"	37100000	15
"EC"	1981	"16692.183999999997"	15007343	54
