?iso2_str	?age	?val_str	?pop	?den
"GH"	2000	"9627.9"	24233431	102
"GR"	2000	"8089.2"	11305118	85
"GT"	2000	"19385.6"	13824463	129
"HN"	2000	"3447.7000000000003"	8249574	64
"HT"	2000	"4132.6"	9719932	350
"HU"	2000	"8217.5"	10014324	107
"ID"	2000	"167822.1"	237424363	124
"IL"	2000	"2698.7999999999997"	7869900	371
"IQ"	2000	"22289.0"	30399572	74
"IR"	2000	"79664.5"	78868711	48
"IS"	2000	"336.5"	320060	3
"IT"	2000	"46724.9"	60681514	201
"JM"	2000	"1379.2"	2847232	252
"JO"	2000	"1401.8"	6508271	68
"JP"	2000	"47483.5"	127799000	337
"KE"	2000	"22284.0"	43013341	67
"KG"	2000	"3485.7999999999997"	5550239	27
"KH"	2000	"14984.9"	14805358	82
"KP"	2000	"17323.899999999998"	24051218	198
"KR"	2000	"30924.9"	48875000	491
"KW"	2000	"10196.8"	3566437	200
"KZ"	2000	"38573.799999999996"	16600000	6
"LB"	2000	"906.5999999999999"	4224000	404
"LK"	2000	"9607.2"	20860000	309
"LT"	2000	"5000.200000000001"	3187176	50
"LU"	2000	"1018.6999999999999"	509074	194
"LV"	2000	"2840.0"	2217053	34
"MA"	2000	"9601.5"	32545170	72
"MD"	2000	"3254.7000000000003"	3559500	122
"MK"	2000	"1490.0"	2055004	82
"MM"	2000	"66941.3"	60280000	74
"MT"	2000	"230.8"	452515	1307
"MZ"	2000	"12970.3"	22894000	29
"NG"	2000	"82588.8"	170123740	184
"NI"	2000	"5565.7"	5891199	42
"NP"	2000	"21206.1"	29331000	199
"NZ"	2000	"26569.9"	4422700	17
"PE"	2000	"16345.099999999999"	29496000	23
"PK"	2000	"117128.8"	177100000	214
"PL"	2000	"72790.9"	38186860	120
"PT"	2000	"12289.1"	10578776	115
"PY"	2000	"15184.300000000001"	6454548	14
"RU"	2000	"465548.5"	143030106	8
"SA"	2000	"41797.5"	27136977	12
"SI"	2000	"2871.1000000000004"	2050189	101
"SK"	2000	"4432.299999999999"	5445324	111
"SN"	2000	"7078.1"	12855153	65
"SV"	2000	"2798.1"	6134000	342
"SY"	2000	"12608.800000000001"	22530746	118
"TG"	2000	"3439.6"	6619000	117
"TH"	2000	"83448.40000000001"	667201532	132
"TJ"	2000	"3303.6"	7616000	49
"TM"	2000	"21217.0"	5110000	11
"TN"	2000	"6880.6"	10732900	63
"TR"	2000	"56263.6"	74724269	97
"TT"	2000	"5527.5"	1227505	254
"TZ"	2000	"29123.6"	43188000	46
"UA"	2000	"85243.9"	45888000	77
"UY"	2000	"18183.2"	3318535	19
"UZ"	2000	"37079.0"	29559100	61
"VE"	2000	"57498.2"	27150	30
"VN"	2000	"75418.2"	91519289	259
"YE"	2000	"6121.1"	25130000	45
"ZA"	2000	"59430.100000000006"	48810427	41
"ZM"	2000	"18099.8"	12935000	17
"ZW"	2000	"9671.6"	12521000	26
